wilaya name,total land unused,product name,land used by product,production
Adrar,520041,wheat,8571,283841
Adrar,520041,corn,521,38786
Adrar,520041,dates,28327,934562
Adrar,520041,potatoes,355,53270
Adrar,520041,tomatoes,1016,227618
Adrar,520041,green pepper,13,3931
Adrar,520041,aubergines,1,334
Adrar,520041,other,0,0
Chlef,14005,wheat,48079,436590
Chlef,14005,corn,0,0
Chlef,14005,dates,0,0
Chlef,14005,potatoes,0,0
Chlef,14005,tomatoes,0,0
Chlef,14005,green pepper,0,0
Chlef,14005,aubergines,0,0
Chlef,14005,other,0,0
Laghouat,0,wheat,100810,283841
Laghouat,0,corn,0,0
Laghouat,0,dates,282,15199
Laghouat,0,potatoes,0,0
Laghouat,0,tomatoes,0,0
Laghouat,0,green pepper,0,0
Laghouat,0,aubergines,0,0
Laghouat,0,other,0,0
Oum El Bouaghi,32172,wheat,8382,128699
Oum El Bouaghi,32172,corn,29,1299
Oum El Bouaghi,32172,dates,0,0
Oum El Bouaghi,32172,potatoes,0,0
Oum El Bouaghi,32172,tomatoes,0,0
Oum El Bouaghi,32172,green pepper,0,0
Oum El Bouaghi,32172,aubergines,0,0
Oum El Bouaghi,32172,other,0,0
Batna,83857,wheat,124891,708238
Batna,83857,corn,0,0
Batna,83857,dates,208,15891
Batna,83857,potatoes,0,0
Batna,83857,tomatoes,0,0
Batna,83857,green pepper,0,0
Batna,83857,aubergines,0,0
Batna,83857,other,0,0
Bejaia,3587,wheat,9813,93855
Bejaia,3587,corn,6,600
Bejaia,3587,dates,0,0
Bejaia,3587,potatoes,44,7720
Bejaia,3587,tomatoes,17,12971
Bejaia,3587,green pepper,13,3828
Bejaia,3587,aubergines,0,0
Bejaia,3587,other,0,0
Biskra,67532,wheat,33362,564759
Biskra,67532,corn,0,0
Biskra,67532,dates,43105,4284890
Biskra,67532,potatoes,200,59340
Biskra,67532,tomatoes,2253,3152760
Biskra,67532,green pepper,895,589670
Biskra,67532,aubergines,426,281537
Biskra,67532,other,0,0
Bechar,69834,wheat,359,5605
Bechar,69834,corn,0,0
Bechar,69834,dates,14074,269489
Bechar,69834,potatoes,0,0
Bechar,69834,tomatoes,0,0
Bechar,69834,green pepper,0,0
Bechar,69834,aubergines,0,0
Bechar,69834,other,0,0
Blida,1536,wheat,14945,173207
Blida,1536,corn,0,0
Blida,1536,dates,0,0
Blida,1536,potatoes,0,0
Blida,1536,tomatoes,57,20025
Blida,1536,green pepper,10,2150
Blida,1536,aubergines,3,1210
Blida,1536,other,0,0
Bouira,26904,wheat,103144,1021576
Bouira,26904,corn,0,0
Bouira,26904,dates,0,0
Bouira,26904,potatoes,0,0
Bouira,26904,tomatoes,0,0
Bouira,26904,green pepper,0,0
Bouira,26904,aubergines,0,0
Bouira,26904,other,0,0
Tamanrasset,53825,wheat,1248,13237
Tamanrasset,53825,corn,0,0
Tamanrasset,53825,dates,7003,122306
Tamanrasset,53825,potatoes,0,0
Tamanrasset,53825,tomatoes,8,6468
Tamanrasset,53825,green pepper,2,647
Tamanrasset,53825,aubergines,0,0
Tamanrasset,53825,other,0,0
Tebessa,72094,wheat,113400,221000
Tebessa,72094,corn,0,0
Tebessa,72094,dates,816,21300
Tebessa,72094,potatoes,0,0
Tebessa,72094,tomatoes,0,0
Tebessa,72094,green pepper,0,0
Tebessa,72094,aubergines,0,0
Tebessa,72094,other,0,0
Tlemcen,33025,wheat,111130,260000
Tlemcen,33025,corn,0,0
Tlemcen,33025,dates,0,0
Tlemcen,33025,potatoes,85,21300
Tlemcen,33025,tomatoes,40,10000
Tlemcen,33025,green pepper,0,0
Tlemcen,33025,aubergines,0,0
Tlemcen,33025,other,0,0
Tiaret,26950,wheat,290875,1462000
Tiaret,26950,corn,0,0
Tiaret,26950,dates,0,0
Tiaret,26950,potatoes,0,0
Tiaret,26950,tomatoes,0,0
Tiaret,26950,green pepper,0,0
Tiaret,26950,aubergines,0,0
Tiaret,26950,other,0,0
Tizi Ouzou,21859,wheat,10343,107100
Tizi Ouzou,21859,corn,0,0
Tizi Ouzou,21859,dates,0,0
Tizi Ouzou,21859,potatoes,105,16980
Tizi Ouzou,21859,tomatoes,2,0
Tizi Ouzou,21859,green pepper,1,0
Tizi Ouzou,21859,aubergines,0,0
Tizi Ouzou,21859,other,0,0
Alger,2522,wheat,3633,43085
Alger,2522,corn,0,0
Alger,2522,dates,0,0
Alger,2522,potatoes,440,111930
Alger,2522,tomatoes,130,65190
Alger,2522,green pepper,23,5185
