PRODUCTION NEEDED IN SUMMER : 10003453.375197083
>>> PLAN FOR SUMMER
,City,Product,Land Used,Production,
,:---------------------,:---------------,:--------------,:-------------------,
,:-------------------,:-------------,------------:,-----------------:,
,Adrar,wheat,0,0,
,Adrar,corn,0,0,
,Adrar,dates,28327,934562,
,Adrar,potatoes,0,0,
,Adrar,tomatoes,1016,227618,
,Adrar,green pepper,0,0,
,Adrar,aubergines,1,334,
,Adrar,other,0,0,
,Chlef,wheat,0,0,
,Chlef,corn,0,0,
,Chlef,dates,0,0,
,Chlef,potatoes,0,0,
,Chlef,tomatoes,0,0,
,Chlef,green pepper,0,0,
,Chlef,aubergines,62084,350585,
,Chlef,other,0,0,
,Laghouat,wheat,0,0,
,Laghouat,corn,0,0,
,Laghouat,dates,101092,5.44857e+06,
,Laghouat,potatoes,0,0,
,Laghouat,tomatoes,0,0,
,Laghouat,green pepper,0,0,
,Laghouat,aubergines,0,0,
,Laghouat,other,0,0,
,Oum El Bouaghi,wheat,0,0,
,Oum El Bouaghi,corn,0,0,
,Oum El Bouaghi,dates,0,0,
,Oum El Bouaghi,potatoes,0,0,
,Oum El Bouaghi,tomatoes,0,0,
,Oum El Bouaghi,green pepper,0,0,
,Oum El Bouaghi,aubergines,0,0,
,Oum El Bouaghi,other,0,0,
,Batna,wheat,0,0,
,Batna,corn,0,0,
,Batna,dates,208,15891,
,Batna,potatoes,0,0,
,Batna,tomatoes,0,0,
,Batna,green pepper,0,0,
,Batna,aubergines,0,0,
,Batna,other,0,0,
,Bejaia,wheat,0,0,
,Bejaia,corn,0,0,
,Bejaia,dates,0,0,
,Bejaia,potatoes,0,0,
,Bejaia,tomatoes,17,12971,
,Bejaia,green pepper,0,0,
,Bejaia,aubergines,0,0,
,Bejaia,other,0,0,
,Biskra,wheat,0,0,
,Biskra,corn,0,0,
,Biskra,dates,43105,4.28489e+06,
,Biskra,potatoes,0,0,
,Biskra,tomatoes,2253,3.15276e+06,
,Biskra,green pepper,0,0,
,Biskra,aubergines,426,281537,
,Biskra,other,0,0,
,Bechar,wheat,0,0,
,Bechar,corn,0,0,
,Bechar,dates,14074,269489,
,Bechar,potatoes,0,0,
,Bechar,tomatoes,0,0,
,Bechar,green pepper,0,0,
,Bechar,aubergines,0,0,
,Bechar,other,0,0,
,Blida,wheat,0,0,
,Blida,corn,0,0,
,Blida,dates,0,0,
,Blida,potatoes,0,0,
,Blida,tomatoes,57,20025,
,Blida,green pepper,0,0,
,Blida,aubergines,3,1210,
,Blida,other,0,0,
,Bouira,wheat,0,0,
,Bouira,corn,0,0,
,Bouira,dates,0,0,
,Bouira,potatoes,0,0,
,Bouira,tomatoes,0,0,
,Bouira,green pepper,0,0,
,Bouira,aubergines,0,0,
,Bouira,other,0,0,
,Tamanrasset,wheat,0,0,
,Tamanrasset,corn,0,0,
,Tamanrasset,dates,7003,122306,
,Tamanrasset,potatoes,0,0,
,Tamanrasset,tomatoes,8,6468,
,Tamanrasset,green pepper,0,0,
,Tamanrasset,aubergines,0,0,
,Tamanrasset,other,0,0,
,Tebessa,wheat,0,0,
,Tebessa,corn,0,0,
,Tebessa,dates,816,21300,
,Tebessa,potatoes,0,0,
